bd09mc_X,bd09mc_Y,value,bd09_LNG,bd09_LAT,wgs84_LNG,wgs84_LAT,gcj02_LNG,gcj02_LAT
12526800,3261200,2,112.52893458983841,28.258582713017287,112.51694453288657,28.25613448950856,112.52239454081416,28.252711117408776
12588600,3241800,2,113.08408739482141,28.10415678882374,113.07168355979118,28.101451369517857,113.0775389846794,28.09828411527432
12584200,3260200,5,113.04456195239543,28.2506281252771,113.03235299013708,28.247530566514595,113.03813226502557,28.244287261130946
12589200,3265800,1,113.0894772278795,28.295166089418263,113.07706563380279,28.292552424567027,113.08294328111461,28.28938412022735
12682600,3272600,1,113.92849457392175,28.34922259230838,113.91665590922008,28.346927778272228,113.92192641503613,28.343418870835034
12573200,3250400,1,112.9457483463305,28.172641446139163,112.93386655070613,28.169970344710244,112.93931254908885,28.166465388242912
12568200,3270600,1,112.90083307084643,28.333326504341194,112.88893441966476,28.330779715424782,112.89434492603745,28.32724849999799
12579200,3241400,4,112.99964667691137,28.100970379533155,112.98745981908544,28.098593535800962,112.99306788127332,28.095228762684442
12563800,3254600,2,112.86130762842046,28.20607135454836,112.84929148701647,28.203893009291487,112.85472606261614,28.200397465234577
12619000,3255400,2,113.35717226976449,28.212437758211745,113.34473590470681,28.209936188186557,113.35059410240436,28.206724488394826
12578200,3258000,2,112.99066362181456,28.23312592145729,112.97847605271978,28.230851597095715,112.9840617600122,28.227452058067094
12580000,3247400,1,113.00683312098882,28.148756474398926,112.99465620252066,28.14626895931909,113.00029497970786,28.142921523788825
12578400,3237200,6,112.99246023283392,28.067507309990262,112.98031705791973,28.065215983469805,112.9858961064611,28.061833867321386
12606200,3247400,2,113.2421891645253,28.148756474398926,113.22993631089999,28.146330127949852,113.23563444875944,28.14298855499496
12583400,3252600,1,113.03737550831798,28.190153668052922,113.02521330938505,28.187116972399153,113.03096490929744,28.18385611383275
12538400,3267400,1,112.63313802896144,28.30788776509857,112.62122117087269,28.305730942803773,112.62657395901493,28.302209401335325
12601600,3254600,1,113.20086711107996,28.20607135454836,113.18859583830604,28.203444230248678,113.19434786188137,28.200148311128554
12559800,3272800,2,112.82537540803321,28.350812068890683,112.8133947526759,28.34804404591843,112.81890349927404,28.344621189691775
12575800,3244000,4,112.9691042895822,28.12168033032076,112.95703017413521,28.119336022129605,112.96253402174084,28.11588347868695
12531600,3259600,1,112.57205325430311,28.245855084770053,112.56027190358485,28.243046154011314,112.56561754419825,28.23952733016363
12544200,3260200,2,112.68523974852295,28.2506281252771,112.67335270905562,28.247723978607315,112.67881031526082,28.24428731979513
12658200,3234400,1,113.70930802955954,28.045192743965742,113.69719674685558,28.042901744490795,113.70274121047107,28.039534214179188
12660200,3238000,1,113.72727413975315,28.07388204042978,113.71518320077371,28.071390927470304,113.72074653743776,28.068043349638284
12618600,3236400,1,113.35357904772577,28.06113219734698,113.34118059896599,28.05865908007558,113.34701931501138,28.055453778887127
12582200,3256600,4,113.0265958422018,28.221986644674285,113.01440687883269,28.21910373113257,113.02012412217371,28.2158120452911
12597800,3289000,1,113.16673150171208,28.479479751036923,113.15445847748711,28.4763319940488,113.16029784096385,28.473135495695967
12480400,3229000,1,112.11212083334632,28.002144296537264,112.09987562341581,27.99922011248243,112.10562151439203,27.996063258344634
12581800,3246600,4,113.02300262016308,28.142386239050893,113.01082921664717,28.139570357254257,113.01652715702116,28.13627210935734
12568800,3237200,2,112.90622290390452,28.067507309990262,112.89438988632861,28.064872166457192,112.89977992550692,28.06134620851173
12637000,3233000,1,113.51886726150711,28.03403370595742,113.50682807306441,28.031088066549767,113.51245264798499,28.027721961651718
12557200,3251800,1,112.80201946478151,28.18378592266607,112.79008603021556,28.180851160469693,112.7956194955922,28.17746125529197
12613000,3276600,1,113.30327393918363,28.381007554911303,113.29106118301318,28.37808579710926,113.2968232752712,28.37478928774638
12600400,3260200,2,113.1900874449638,28.2506281252771,113.17782599718197,28.24778980845601,113.18360137774866,28.24451275744219
12567600,3260000,3,112.89544323778836,28.2490371357616,112.8835186953278,28.246586571111727,112.88892349753073,28.243052098911274
12577800,3249800,1,112.98707039977583,28.167864882714593,112.97493591660795,28.16561591742499,112.98050362350742,28.16220807821499
12531800,3267000,1,112.57384986532247,28.304707490276087,112.56209837875619,28.301917462883587,112.56744596687516,28.298398865926465
12656600,3264400,1,113.69493514140463,28.28403336254055,113.68283688595052,28.28172299900881,113.6883811124382,28.278317696210532
12607200,3293800,1,113.2511722196221,28.517573148213998,113.23893392306097,28.51496727719953,113.24465971336753,28.511669477802922
12582000,3242400,4,113.02479923118244,28.10893622344832,113.01261501541434,28.106078828936873,113.018316628537,28.102788981729862
12612800,3255600,1,113.30147732816425,28.21402929921183,113.28928417817252,28.21109861767611,113.29502931622919,28.207786706950728
12650400,3245600,2,113.63924019980439,28.13442290647317,113.6273578788761,28.131603824941255,113.63280750041345,28.128103603782165
12529200,3256200,1,112.55049392207076,28.21880377840038,112.53865213091437,28.21605377034635,112.54403848286256,28.212574916833415
12495200,3228400,1,112.24507004877916,27.997360062068335,112.2329962830462,27.994837294765073,112.23851426272846,27.991501308239005
